Model,MAE,RMSE,R² Score
Random Forest,8.852402704675036,20.87403716101869,0.8334341625284493
XGBoost,10.57390304423857,22.22776184829916,0.8111293398712138
LightGBM,11.013670623610139,22.892016723388146,0.7996722389597499
CatBoost,13.082466671448698,25.429127467623974,0.7528071266652783
