Model,MAE,RMSE,R2 Score
CatBoost,243.87394398647993,584.215809285578,0.9489076812807922
LightGBM,299.7857594467233,634.3205786931711,0.9397680942470645
XGBoost,364.15226279180615,729.6745533691396,0.9202983331091197
Random Forest,360.59606929997915,806.2101791467895,0.9027016317605464
