Model,Accuracy,Precision,Recall,Weighted F1,Macro F1
Random Forest,0.707733760437782,0.7123034303188194,0.707733760437782,0.708884677633579,0.4771095261230302
CatBoost,0.6806059544366309,0.703315558939996,0.6806059544366309,0.6877704911785306,0.46111564330897936
XGBoost,0.6493906253910258,0.679935863104023,0.6493906253910258,0.6562422962864044,0.4443004167622759
LightGBM,0.5735462182069955,0.6681463952209501,0.5735462182069955,0.5907987588137389,0.4166139510988394
Majority Baseline,0.4990281705414717,0.24902911499396815,0.4990281705414717,0.3322540828622521,0.16645056455517282
