Model,MAE,RMSE,R² Score
CatBoost,234.1433144949504,412.28441717798296,0.675119392541625
LightGBM,232.8779075426686,413.13127502666725,0.6737833718455387
XGBoost,271.9393874182939,517.213979412698,0.488706281828592
Random Forest,252.79578386283458,555.5905683297588,0.41001675683947514
