iter	Passed	Remaining
400	20840	5145
401	20891	5092
402	20940	5040
403	21003	4990
404	21059	4939
405	21106	4886
406	21153	4833
407	21202	4780
408	21250	4728
409	21296	4674
410	21341	4621
411	21393	4569
412	21437	4515
413	21486	4463
414	21529	4409
415	21576	4356
416	21624	4304
417	21683	4253
418	21744	4203
419	21794	4151
420	21844	4098
421	21895	4047
422	21939	3993
423	21992	3942
424	22038	3889
425	22085	3836
426	22133	3783
427	22180	3731
428	22234	3679
429	22291	3628
430	22345	3577
431	22398	3525
432	22444	3472
433	22489	3420
434	22539	3367
435	22583	3315
436	22638	3263
437	22685	3211
438	22738	3159
439	22785	3107
440	22830	3054
441	22871	3001
442	22917	2948
443	22964	2896
444	23014	2844
445	23063	2792
446	23110	2740
447	23157	2687
448	23209	2636
449	23257	2584
450	23303	2531
451	23351	2479
452	23396	2427
453	23444	2375
454	23494	2323
455	23550	2272
456	23599	2220
457	23650	2168
458	23693	2116
459	23753	2065
460	23807	2014
461	23855	1962
462	23902	1910
463	23953	1858
464	24000	1806
465	24052	1754
466	24096	1702
467	24140	1650
468	24184	1598
469	24231	1546
470	24272	1494
471	24311	1442
472	24357	1390
473	24402	1338
474	24451	1286
475	24500	1235
476	24559	1184
477	24606	1132
478	24659	1081
479	24707	1029
480	24763	978
481	24821	926
482	24868	875
483	24915	823
484	24968	772
485	25015	720
486	25065	669
487	25111	617
488	25160	565
489	25206	514
490	25253	462
491	25303	411
492	25356	360
493	25399	308
494	25442	256
495	25491	205
496	25535	154
497	25588	102
498	25647	51
499	25706	0
