iter	RMSE
0	1887.500782
1	1799.693196
2	1716.649212
3	1637.95063
4	1564.020595
5	1493.977594
6	1427.328337
7	1364.584609
8	1305.169181
9	1249.629058
10	1196.197534
11	1145.992524
12	1098.748262
13	1054.382628
14	1012.109448
15	972.4392615
16	934.8577766
17	899.5146016
18	866.288425
19	834.8623018
20	805.178861
21	777.6427087
22	751.7410958
23	727.9283225
24	705.5545867
25	684.4815014
26	664.6772349
27	645.9931176
28	629.3463143
29	613.3930448
30	598.5185264
31	584.8308432
32	571.9088688
33	560.0033401
34	548.0877653
35	537.6945884
36	528.054523
37	519.1984894
38	510.605053
39	503.2290901
40	495.9956199
41	489.2760524
42	482.7836323
43	477.056285
44	471.8542469
45	467.1782662
46	462.7865343
47	458.3288099
48	454.2821534
49	450.6656139
50	447.4555535
51	444.5780934
52	441.8734293
53	438.9738568
54	436.4551977
55	433.8405545
56	431.5628782
57	429.6042248
58	427.7293584
59	425.6521824
60	424.0983694
61	422.4467689
62	420.9528603
63	419.682728
64	418.4785826
65	417.3050266
66	416.2869495
67	415.0328902
68	413.8386257
69	412.9597389
70	411.9409665
71	411.1896919
72	410.2387021
73	409.2460622
74	408.4550524
75	407.6688991
76	406.9445035
77	406.2437187
78	405.5558901
79	405.0042214
80	404.2176363
81	403.6491844
82	403.0221287
83	402.3120169
84	401.7264607
85	401.20406
86	400.5487717
87	400.0549356
88	399.4574707
89	398.9893169
90	398.6373382
91	398.1616348
92	397.753856
93	397.3918655
94	396.9597551
95	396.4855158
96	396.1783667
97	395.8477465
98	395.4816197
99	395.0057402
100	394.6015226
101	394.1986178
102	393.9067347
103	393.4207855
104	392.9904242
105	392.614576
106	392.2446802
107	391.840998
108	391.5911615
109	391.2410804
110	390.8595032
111	390.5051208
112	390.1767932
113	389.8535925
114	389.6006423
115	389.3115771
116	388.9855612
117	388.7792514
118	388.5960714
119	388.2928255
120	387.976612
121	387.6938195
122	387.4646371
123	387.2127074
124	386.9681842
125	386.5563403
126	386.3589965
127	386.166481
128	385.9040015
129	385.6704711
130	385.3754148
131	385.143715
132	384.9392923
133	384.6202455
134	384.4561016
135	384.2236943
136	383.9469311
137	383.5886604
138	383.3587246
139	383.2183335
140	382.9413585
141	382.7282205
142	382.5410913
143	382.3554752
144	382.1514653
145	381.9819374
146	381.8073794
147	381.6546588
148	381.4844462
149	381.2472354
150	381.1146512
151	380.942101
152	380.8181801
153	380.6161622
154	380.5139992
155	380.3662079
156	380.1841775
157	380.0574009
158	379.8152038
159	379.6789305
160	379.3999972
161	379.2367681
162	379.0159086
163	378.8548452
164	378.6742603
165	378.4451685
166	378.2928179
167	378.0924474
168	377.8896525
169	377.6582898
170	377.5414795
171	377.3589917
172	377.1475503
173	377.0221678
174	376.9194825
175	376.7292496
176	376.665014
177	376.5224323
178	376.3501391
179	376.151393
180	375.9948614
181	375.8864537
182	375.8072504
183	375.647142
184	375.4933772
185	375.3092226
186	375.181574
187	375.1079592
188	374.9486187
189	374.8504893
190	374.6513091
191	374.543468
192	374.4434854
193	374.3045683
194	374.1606702
195	374.0397269
196	373.8940654
197	373.7863286
198	373.6907929
199	373.5307534
