iter	RMSE
200	373.4556244
201	373.3784677
202	373.2855797
203	373.1246409
204	373.0139743
205	372.8505439
206	372.7098995
207	372.5850968
208	372.4756446
209	372.3266698
210	372.2215422
211	372.0328479
212	371.8999495
213	371.8228898
214	371.7584532
215	371.6631126
216	371.5643686
217	371.4518595
218	371.3347462
219	371.2448203
220	371.0790005
221	370.9301488
222	370.821569
223	370.7168135
224	370.6123819
225	370.5325388
226	370.4223753
227	370.3266737
228	370.1781556
229	370.1231755
230	370.0257457
231	369.9028027
232	369.7370965
233	369.6216592
234	369.4793071
235	369.3077449
236	369.1626243
237	369.0696051
238	368.9818153
239	368.8794289
240	368.7901319
241	368.6786223
242	368.6138353
243	368.5044813
244	368.3673831
245	368.2282072
246	368.143775
247	367.9933576
248	367.8858373
249	367.7718563
250	367.6705457
251	367.5952045
252	367.3934364
253	367.2978651
254	367.1977704
255	367.1175886
256	367.0295936
257	366.9044526
258	366.8024317
259	366.6828211
260	366.5812503
261	366.4746224
262	366.3455461
263	366.2681377
264	366.1155518
265	366.0045022
266	365.9354348
267	365.8638086
268	365.7543251
269	365.6734583
270	365.5373705
271	365.4468238
272	365.3564905
273	365.2616814
274	365.1073486
275	365.0039004
276	364.938916
277	364.8568559
278	364.7409105
279	364.6431374
280	364.5312484
281	364.4441643
282	364.3316909
283	364.2355303
284	364.1011194
285	363.9416795
286	363.8860964
287	363.8059764
288	363.7479795
289	363.6911131
290	363.6294624
291	363.5002768
292	363.4029197
293	363.3306583
294	363.2575741
295	363.1256506
296	363.0181656
297	362.9491582
298	362.8234409
299	362.7410778
300	362.6682243
301	362.5582141
302	362.5024233
303	362.4678247
304	362.3753502
305	362.2837822
306	362.2396378
307	362.0838593
308	361.9653481
309	361.8644889
310	361.7716825
311	361.6839696
312	361.6555516
313	361.5750108
314	361.4611674
315	361.3889803
316	361.3313682
317	361.2422968
318	361.1571142
319	361.0653427
320	360.983674
321	360.9001112
322	360.8735085
323	360.8105814
324	360.6780729
325	360.5622956
326	360.4276823
327	360.3301482
328	360.2352646
329	360.1356441
330	360.051614
331	359.9501165
332	359.8754424
333	359.854113
334	359.718261
335	359.6351057
336	359.5418468
337	359.467338
338	359.4219805
339	359.3648469
340	359.2986996
341	359.1924088
342	359.1233642
343	359.0512176
344	358.9479402
345	358.8764831
346	358.7684543
347	358.7105505
348	358.6362931
349	358.5842237
350	358.5181307
351	358.4773181
352	358.3977514
353	358.3164113
354	358.2266241
355	358.1675042
356	358.0976427
357	358.0543556
358	357.9671589
359	357.8757322
360	357.7967405
361	357.720082
362	357.6600199
363	357.6026972
364	357.5101883
365	357.488178
366	357.3983029
367	357.3348779
368	357.2618032
369	357.1951206
370	357.1171511
371	357.052506
372	356.9418479
373	356.8735417
374	356.7972663
375	356.7135576
376	356.6426483
377	356.5642344
378	356.494788
379	356.4009862
380	356.3556406
381	356.3095612
382	356.217763
383	356.1405353
384	356.0904431
385	356.025456
386	355.9551142
387	355.8985653
388	355.8495405
389	355.7839988
390	355.7211849
391	355.6726521
392	355.6291099
393	355.5036791
394	355.4358515
395	355.375254
396	355.318821
397	355.2634774
398	355.2138054
399	355.1630467
400	355.1053705
401	355.0458358
402	354.9914197
403	354.9193647
404	354.8386474
405	354.7660367
406	354.6867722
407	354.6084188
408	354.5225318
409	354.4447984
410	354.3759524
411	354.3035607
412	354.2553784
413	354.2073781
414	354.1433672
415	354.0874642
416	354.0255116
417	353.9970261
418	353.9407594
419	353.8965951
420	353.8142704
421	353.7392981
422	353.719681
423	353.6554238
424	353.5913928
425	353.5277423
426	353.4502831
427	353.3682299
428	353.3115639
429	353.247478
430	353.1762571
431	353.1442866
432	353.082314
433	353.0121197
434	352.9536693
435	352.8937489
436	352.8275728
437	352.7519658
438	352.6942133
439	352.6352714
440	352.579245
441	352.556406
442	352.5105126
443	352.4478348
444	352.4122712
445	352.3287811
446	352.2619156
447	352.211962
448	352.1359334
449	352.0667577
450	352.0359338
451	351.9828316
452	351.9276764
453	351.8696689
454	351.8036995
455	351.7502761
456	351.7104661
457	351.6580458
458	351.6122903
459	351.5580702
460	351.4889289
461	351.4375038
462	351.388249
463	351.3029876
464	351.2460413
465	351.1928021
466	351.1348248
467	351.1181353
468	351.0519559
469	351.0224028
470	350.974173
471	350.9623684
472	350.857926
473	350.7947857
474	350.7459936
475	350.6741982
476	350.5998638
477	350.5505886
478	350.4923054
479	350.4406886
480	350.3725396
481	350.298753
482	350.2375075
483	350.1917513
484	350.1325662
485	350.0847618
486	350.0326779
487	349.9871735
488	349.9079618
489	349.8702591
490	349.8089661
491	349.7527654
492	349.6888976
493	349.6270936
494	349.578588
495	349.5130061
496	349.4706855
497	349.4124588
498	349.3493021
499	349.2975661
